Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
590,327,109,3,3.5,4,8.77,1,0.79
591,301,104,2,3.5,3.5,7.89,1,0.68
592,300,95,2,3,1.5,8.22,1,0.62
593,301,99,3,2.5,2,8.45,1,0.68
594,,108,5,4.5,4,9.02,1,0.87
595,337,117,5,5,5,9.87,1,0.96
596,330,120,5,4.5,5,9.56,1,0.93
597,312,103,4,4,5,8.43,0,0.73
598,327,113,4,4.5,4.5,9.04,0,0.84
599,,109,3,4,3,8,1,0.62
600,311,104,3,3.5,2,8.2,1,0.61
